Tire Compound,Track Temperature,Laps Driven,Track Surface,Car Weight (kg),Driving Style,Weather,Tire Wear (%)
Medium,48,24,Smooth,746,Balanced,Dry,53.028571428571425
Wet,38,29,Smooth,691,Balanced,Dry,56.74285714285715
Hard,24,10,Smooth,682,Conservative,Wet,36.22857142857143
Medium,17,16,Rough,616,Conservative,Dry,50.68571428571428
Hard,30,25,Smooth,720,Conservative,Wet,39.57142857142857
Medium,48,22,Rough,686,Aggressive,Dry,77.74285714285713
Wet,28,55,Smooth,639,Aggressive,Dry,68.45714285714286
Hard,32,51,Rough,672,Aggressive,Dry,73.68571428571428
Medium,20,47,Smooth,628,Aggressive,Dry,60.71428571428571
Medium,20,19,Rough,641,Aggressive,Wet,76.71428571428571
Medium,33,1,Smooth,628,Balanced,Wet,51.74285714285715
Wet,45,30,Smooth,665,Aggressive,Dry,68.28571428571428
Wet,49,26,Rough,723,Conservative,Dry,63.51428571428571
Medium,33,1,Smooth,744,Balanced,Wet,51.74285714285715
Hard,12,3,Rough,719,Balanced,Wet,57.82857142857143
Medium,31,12,Smooth,708,Aggressive,Wet,62.91428571428572
Hard,11,34,Rough,691,Balanced,Dry,57.05714285714286
Wet,33,65,Rough,711,Balanced,Dry,75.88571428571429
Medium,39,5,Rough,651,Balanced,Dry,63.51428571428572
Wet,47,30,Rough,659,Aggressive,Wet,88.68571428571428
Wet,11,9,Rough,693,Balanced,Wet,68.4857142857143
Hard,30,20,Rough,743,Balanced,Wet,63.85714285714286
Wet,42,22,Rough,697,Balanced,Wet,76.54285714285714
Soft,21,2,Rough,613,Aggressive,Wet,84.48571428571428
Hard,31,31,Rough,650,Aggressive,Wet,75.62857142857143
Medium,34,19,Rough,623,Conservative,Dry,54.51428571428572
Wet,36,28,Rough,706,Conservative,Wet,66.19999999999999
Soft,37,51,Smooth,672,Aggressive,Dry,74.68571428571428
Soft,25,45,Rough,746,Balanced,Wet,81.42857142857142
Wet,24,33,Rough,683,Aggressive,Dry,79.51428571428572
Wet,12,60,Rough,660,Balanced,Wet,75.97142857142858
Soft,46,69,Rough,705,Conservative,Wet,79.05714285714285
Wet,16,10,Smooth,693,Aggressive,Dry,59.628571428571426
Hard,30,62,Smooth,662,Balanced,Wet,54.85714285714286
Wet,18,20,Rough,694,Conservative,Dry,56.457142857142856
Soft,48,2,Smooth,634,Conservative,Dry,49.885714285714286
Wet,27,9,Smooth,666,Conservative,Wet,46.68571428571429
Wet,13,26,Smooth,655,Conservative,Wet,46.31428571428572
Medium,34,11,Rough,639,Aggressive,Wet,78.37142857142857
Medium,23,6,Rough,733,Conservative,Dry,50.45714285714286
Medium,18,16,Rough,728,Balanced,Wet,65.88571428571429
Hard,35,64,Rough,623,Conservative,Dry,56.14285714285714
Wet,11,63,Smooth,701,Aggressive,Wet,71.2
Wet,29,25,Rough,714,Conservative,Dry,59.37142857142858
Medium,37,14,Rough,734,Aggressive,Dry,74.4
Medium,16,32,Rough,674,Aggressive,Wet,77.77142857142857
Medium,17,61,Smooth,610,Balanced,Dry,52.114285714285714
Wet,44,46,Smooth,635,Conservative,Wet,55.371428571428574
Hard,23,34,Rough,747,Balanced,Wet,64.45714285714286
Medium,26,64,Smooth,662,Aggressive,Wet,69.34285714285714
Medium,45,24,Rough,679,Balanced,Dry,67.42857142857143
Medium,49,56,Smooth,687,Balanced,Wet,62.800000000000004
Wet,13,31,Rough,629,Balanced,Dry,67.02857142857142
Wet,11,62,Smooth,702,Conservative,Dry,46.05714285714286
Hard,15,11,Rough,711,Balanced,Wet,59.57142857142857
Medium,13,62,Rough,683,Conservative,Wet,61.457142857142856
Soft,38,0,Rough,749,Conservative,Dry,62.599999999999994
Wet,27,50,Smooth,704,Conservative,Dry,47.542857142857144
Soft,35,69,Rough,620,Aggressive,Dry,91.85714285714286
Hard,43,7,Smooth,636,Conservative,Wet,39.6
Wet,19,67,Rough,626,Conservative,Wet,68.37142857142857
Medium,45,4,Rough,701,Conservative,Wet,59.57142857142857
Wet,23,38,Rough,637,Aggressive,Wet,85.02857142857141
Medium,40,22,Smooth,659,Aggressive,Wet,66.14285714285714
Hard,24,67,Rough,669,Conservative,Wet,59.37142857142858
Hard,17,51,Rough,631,Aggressive,Dry,70.68571428571428
Soft,23,3,Rough,679,Conservative,Dry,60.028571428571425
Wet,32,46,Smooth,730,Balanced,Wet,62.971428571428575
Soft,49,20,Smooth,701,Conservative,Dry,52.65714285714286
Medium,30,55,Rough,701,Balanced,Wet,73.85714285714286
Soft,25,65,Smooth,629,Aggressive,Wet,79.28571428571429
Wet,27,58,Rough,621,Conservative,Wet,68.68571428571428
Soft,33,6,Smooth,618,Aggressive,Wet,72.45714285714286
Hard,35,48,Smooth,630,Conservative,Dry,38.85714285714286
Medium,34,15,Rough,619,Balanced,Wet,68.94285714285715
Wet,38,16,Rough,746,Aggressive,Dry,79.88571428571429
Hard,24,33,Smooth,729,Balanced,Wet,49.51428571428572
Medium,10,32,Rough,639,Conservative,Dry,51.57142857142858
Medium,34,25,Rough,690,Conservative,Dry,55.371428571428574
Soft,16,65,Rough,671,Balanced,Wet,82.48571428571427
Hard,18,62,Rough,708,Conservative,Dry,52.457142857142856
Hard,33,40,Rough,626,Aggressive,Dry,72.31428571428572
Medium,10,57,Smooth,678,Aggressive,Wet,65.14285714285714
Soft,17,9,Rough,739,Aggressive,Wet,84.68571428571428
Hard,33,14,Smooth,677,Balanced,Dry,43.6
Wet,20,41,Rough,616,Conservative,Dry,59.85714285714286
Medium,26,56,Smooth,683,Conservative,Wet,48.2
Medium,17,16,Rough,737,Aggressive,Wet,75.68571428571428
Soft,44,59,Rough,746,Aggressive,Wet,97.22857142857143
Medium,44,8,Rough,687,Conservative,Dry,54.94285714285715
Soft,42,35,Smooth,673,Aggressive,Wet,78.4
Soft,14,35,Smooth,726,Balanced,Wet,62.800000000000004
Medium,48,47,Smooth,701,Balanced,Dry,56.31428571428572
Soft,37,50,Smooth,695,Aggressive,Wet,79.54285714285714
Medium,16,69,Smooth,650,Conservative,Wet,48.057142857142864
Hard,18,67,Rough,700,Balanced,Dry,63.171428571428564
Medium,17,21,Rough,670,Aggressive,Dry,71.39999999999999
Wet,21,5,Rough,670,Aggressive,Dry,74.91428571428571
Medium,43,25,Rough,609,Conservative,Wet,62.17142857142857
Hard,42,2,Smooth,696,Balanced,Dry,43.68571428571428
Medium,32,51,Rough,733,Aggressive,Wet,83.68571428571428
Hard,33,59,Smooth,605,Balanced,Dry,50.02857142857144
Hard,46,62,Smooth,676,Conservative,Wet,48.057142857142864
Medium,44,64,Rough,676,Aggressive,Wet,87.94285714285714
Wet,49,51,Rough,601,Conservative,Wet,72.08571428571429
Hard,31,13,Rough,650,Aggressive,Dry,68.05714285714286
Soft,36,67,Smooth,746,Conservative,Dry,56.77142857142857
Wet,44,27,Rough,720,Conservative,Dry,62.65714285714285
Hard,10,9,Smooth,727,Balanced,Wet,43.285714285714285
Soft,44,56,Smooth,601,Balanced,Dry,66.8
Hard,46,65,Rough,650,Conservative,Dry,58.48571428571429
Wet,23,49,Rough,669,Aggressive,Dry,81.6
Wet,12,13,Smooth,619,Conservative,Dry,39.25714285714286
Wet,10,15,Smooth,622,Conservative,Dry,39.142857142857146
Wet,14,53,Rough,653,Aggressive,Wet,85.37142857142857
Hard,35,42,Rough,742,Conservative,Wet,58.00000000000001
Medium,23,41,Rough,733,Balanced,Wet,70.45714285714286
Medium,48,21,Rough,735,Balanced,Wet,72.6
Soft,36,67,Smooth,656,Balanced,Dry,66.77142857142857
Hard,18,18,Smooth,714,Balanced,Wet,46.17142857142858
Medium,24,65,Smooth,748,Conservative,Dry,44.08571428571428
Wet,24,38,Smooth,722,Conservative,Dry,45.22857142857143
Wet,35,18,Smooth,635,Conservative,Dry,44.57142857142857
Soft,22,15,Rough,670,Aggressive,Dry,81.54285714285714
Hard,41,53,Smooth,668,Balanced,Wet,55.771428571428565
Wet,48,24,Smooth,657,Aggressive,Dry,68.02857142857142
Soft,41,17,Smooth,662,Balanced,Dry,60.62857142857142
Wet,13,22,Rough,615,Balanced,Dry,65.74285714285713
Wet,39,10,Smooth,733,Conservative,Dry,44.228571428571435
Hard,46,38,Smooth,677,Balanced,Wet,54.628571428571426
Medium,32,67,Rough,721,Aggressive,Wet,85.97142857142858
Soft,48,24,Smooth,601,Conservative,Dry,53.028571428571425
Wet,24,62,Smooth,713,Balanced,Dry,58.65714285714286
Hard,38,29,Smooth,713,Conservative,Wet,41.74285714285715
Soft,45,44,Smooth,723,Aggressive,Wet,80.28571428571428
Medium,22,60,Rough,745,Balanced,Dry,67.97142857142858
Medium,41,50,Rough,685,Balanced,Dry,70.34285714285714
Soft,16,8,Rough,728,Conservative,Dry,59.34285714285714
Medium,31,1,Smooth,620,Aggressive,Wet,61.34285714285714
Soft,37,4,Rough,600,Balanced,Dry,72.97142857142858
Soft,11,61,Rough,731,Balanced,Dry,75.91428571428571
Soft,15,68,Rough,657,Aggressive,Wet,92.71428571428572
Wet,37,51,Smooth,600,Aggressive,Dry,69.68571428571428
Soft,37,4,Rough,740,Aggressive,Wet,87.97142857142858
Medium,29,58,Rough,606,Aggressive,Wet,84.08571428571429
Medium,39,67,Smooth,650,Aggressive,Wet,72.37142857142858
Medium,20,8,Rough,602,Aggressive,Dry,70.14285714285714
Medium,37,21,Smooth,630,Balanced,Wet,55.4
Wet,34,26,Rough,699,Aggressive,Wet,85.51428571428572
Soft,48,9,Rough,661,Aggressive,Wet,90.88571428571429
